d,spend_q4q1,spend_q4q3,spend_q2q1
1/8/2020,2.602969539978054,1.467804851066778,1.327682897293649
1/15/2020,2.546997041637601,1.45347211159205,1.297529287610584
1/22/2020,2.583657189677159,1.433676662338544,1.322951808859008
1/29/2020,2.487593872145169,1.452002290900776,1.28107597777018
2/5/2020,2.368119030644679,1.356358206030745,1.321965386379316
2/12/2020,2.449176271931853,1.414615602247112,1.288053891353612
2/19/2020,2.498175009705345,1.379995458328065,1.351972609337119
2/26/2020,2.319825784204525,1.377687299366963,1.271652898751554
3/4/2020,2.095087139764746,1.286058551976669,1.30462023618777
3/11/2020,2.248156690132131,1.374320647788116,1.267461782303127
3/18/2020,2.435419634052538,1.365918381020317,1.339594954520402
3/25/2020,2.43905710459466,1.397253695756107,1.308008915259661
4/1/2020,2.357560753641199,1.367844035898197,1.296990158141274
4/8/2020,2.400892987898413,1.375645634210281,1.33690650879
4/15/2020,2.211870092309488,1.315975603374849,1.281680393809721
4/22/2020,1.993828058235392,1.240179984096253,1.264141831587984
4/29/2020,2.129304579362266,1.304635770607981,1.25676632162033
5/6/2020,2.108054720840904,1.288658693854613,1.277718205853544
5/13/2020,2.170926390032224,1.348138530931783,1.227774406224496
5/20/2020,2.22197523236038,1.334439427647566,1.276230315244009
5/27/2020,2.251878497313663,1.392154412774794,1.231412979957625
6/3/2020,2.152532989994574,1.324384060368841,1.253536656174008
6/10/2020,2.201167637821197,1.381924155050119,1.223543665148998
6/17/2020,2.283497798764132,1.356986149415315,1.265471043138192
6/24/2020,2.270605443821035,1.399621199428262,1.227411164399673
7/1/2020,2.266251037593169,1.381019207547969,1.250608996427808
7/8/2020,2.225301751696428,1.374046189378985,1.241435739276371
7/15/2020,2.286625495658841,1.385748671820971,1.252037333369348
7/22/2020,2.313238750451114,1.375033448621952,1.274149851534012
7/29/2020,2.319798164225289,1.413442329022414,1.22972795023529
8/5/2020,2.267443340079925,1.354495764132449,1.284130662759462
8/12/2020,2.296711010838004,1.387856217870933,1.228575548063017
8/19/2020,2.400378715837326,1.394194964079488,1.296389034190971
8/26/2020,2.369012528147107,1.409463190744445,1.249163223525597
9/2/2020,2.30388548663093,1.383843090072086,1.278164747274957
9/9/2020,2.322558174527077,1.380380616269616,1.260463318059164
9/16/2020,2.308349804976402,1.385483669978421,1.261135701159604
9/23/2020,2.321302585886751,1.395534043383684,1.26850181383091
9/30/2020,2.242427128537245,1.38591582769588,1.231727882925736
10/7/2020,2.216479772927115,1.346514711318931,1.252614386066457
10/14/2020,2.363733216815862,1.392682445485794,1.26192916495985
10/21/2020,2.338411661381996,1.352422122084647,1.298968587293968
10/28/2020,2.338819219950112,1.404257836253381,1.249135460990925
11/4/2020,2.227422324671169,1.331135820921758,1.280930801340611
11/11/2020,2.346179283286329,1.393769165725931,1.279972182313944
11/18/2020,2.402294746094094,1.365477290025168,1.318395960200632
11/25/2020,2.473372498991674,1.423849260264303,1.285690224509232
12/2/2020,2.441868741744028,1.393895059252493,1.312123370162444
12/9/2020,2.425744584608549,1.436517030054385,1.260185516580745
12/16/2020,2.467993075687797,1.435512244766475,1.274737747876958
12/23/2020,2.419762853746331,1.417229781581166,1.287517068452447
12/30/2020,2.282209847964724,1.392386897580025,1.254542515354878
1/6/2021,2.082705477209207,1.283633524355183,1.280949472799571
1/13/2021,2.058950968280802,1.300666869794817,1.226057156327172
1/20/2021,2.208783090668958,1.318492825911541,1.27701246452778
1/27/2021,2.215910721110748,1.368987101926751,1.237039135729184
2/3/2021,2.149861591540641,1.308748701420948,1.267730491295812
2/10/2021,2.21772871105127,1.370806123212444,1.24670012086761
2/17/2021,2.249962235529424,1.336992008770937,1.288909977943975
2/24/2021,2.184555781924407,1.347685417400996,1.264715086736495
3/3/2021,2.042085056300071,1.274810641711714,1.263201623272276
3/10/2021,2.054423163853834,1.322853819345515,1.240813097077229
3/17/2021,2.034997389237793,1.259245690739462,1.266011178991935
3/24/2021,1.741942899638697,1.190305660655288,1.187501950673471
3/31/2021,1.931437160995181,1.273042336139345,1.217478177468431
4/7/2021,1.99143096456432,1.256469037086566,1.250071611428162
4/14/2021,2.02651172521149,1.303822809431369,1.224222605707761
4/21/2021,2.101097825388992,1.307329417942132,1.265208061177442
4/28/2021,2.122375818967905,1.34147887156984,1.237258928798436
5/5/2021,2.090070325895137,1.310026857933633,1.263011110633665
5/12/2021,2.163723174232011,1.340752640059758,1.244210740547725
5/19/2021,2.136596433264541,1.319929722950832,1.237856244283289
5/26/2021,2.183404333242479,1.36784677269764,1.224261059530921
6/2/2021,2.175206989913816,1.333316495657662,1.272755411785048
6/9/2021,2.181974072091071,1.363819049028349,1.227627973659921
6/16/2021,2.246140316029512,1.355390519636124,1.262797928473963
6/23/2021,2.235891576201116,1.36270746670474,1.261685029837316
6/30/2021,2.197448430953133,1.365407558255686,1.241676725058032
7/7/2021,2.186814787709325,1.332961237916316,1.27278138603753
7/14/2021,2.235522429411515,1.382661543874099,1.229788020814591
7/21/2021,2.173749890024743,1.331803988839078,1.257609863876556
7/28/2021,2.235346625704278,1.367941190075747,1.252443418333049
8/4/2021,2.173420496122427,1.328321175350929,1.261681130757252
8/11/2021,2.250376823713974,1.365337921740741,1.239730833438661
8/18/2021,2.256419852036348,1.350481528449468,1.286813309611219
8/25/2021,2.214876984179064,1.386623467186893,1.222633525541549
9/1/2021,2.142894516616682,1.346369797583724,1.225410326940473
9/8/2021,2.228447233230941,1.346066101537224,1.258516565969829
9/15/2021,2.209732245127033,1.368218777081275,1.235849631165004
9/22/2021,2.186994012329616,1.328069344651906,1.259381472676066
9/29/2021,2.212896898384279,1.376550369992054,1.242020791224073
10/6/2021,2.149727677515159,1.310451045719421,1.27485881670564
10/13/2021,2.24756670602133,1.371985867727656,1.252040515449467
10/20/2021,2.213847250182211,1.333630253987771,1.282980120694995
10/27/2021,2.248207203411695,1.37943212524268,1.263749473700959
11/3/2021,2.151696238700787,1.322734049257015,1.267175981779197
11/10/2021,2.253736686198495,1.392096604673335,1.252310270303715
11/17/2021,2.254928089064935,1.347053554193251,1.278895870562583
11/24/2021,2.294892357196129,1.377472776372539,1.273544598557677
12/1/2021,2.286368380403744,1.361892479607961,1.281726498411468
12/8/2021,2.275338238749353,1.377291925370224,1.266002154432648
12/15/2021,2.345167053294346,1.408917240152996,1.27929018504874
12/22/2021,2.279249763880038,1.381752402955202,1.270120455058523
12/29/2021,2.179059991510354,1.365169111611343,1.238136709154372
1/5/2022,2.192414526108685,1.338232697376401,1.271834187282156
1/12/2022,2.227435454147723,1.379806083758725,1.244878271808455
1/19/2022,2.240811305018932,1.354391920267615,1.267910368827249
1/26/2022,2.228491705712417,1.374234729663382,1.251436424520393
2/2/2022,2.196552992719683,1.342248761423202,1.279238997580172
2/9/2022,2.187318120593648,1.350365257913471,1.26315046473111
2/16/2022,2.143651785711246,1.325854332346692,1.242796316759406
2/23/2022,2.153272887788524,1.339396808499775,1.269063186404209
3/2/2022,2.00417437821525,1.299804153793478,1.228887342111076
3/9/2022,2.024730564832685,1.310393608627457,1.225652602003555
3/16/2022,2.096901136081509,1.321019507448624,1.240363616499166
3/23/2022,2.098549416328248,1.313715778038855,1.262019631901572
3/30/2022,2.115402278405831,1.338031852256372,1.257392690042324
