d,yoyspend_q4q1,yoyspend_q4q3,yoyspend_q2q1
1/8/2020,.059542687122514,.0100064858101301,.0487157252494181
1/15/2020,.0436315144561228,.0041114766010584,.0136457957029443
1/22/2020,.0334505642567349,.0036836593308849,.0215139912181694
1/29/2020,.0053102625491444,-.0057031376182427,.0034302640136235
2/5/2020,.0070116441340948,-.0085126686132466,.0118436455054021
2/12/2020,.0079422995009919,-.0049910391941423,-.0015386930179548
2/19/2020,.0085945123715565,.0010260264493838,.011095856581071
2/26/2020,.0190993265361117,-.0002514428729957,-.0027377927010643
3/4/2020,.0007620601213045,-.0107630120097785,.0292692076593362
3/11/2020,-.0365419055955132,-.003295939889461,-.0126343628985139
3/18/2020,-.0113068966692753,-.009724881143349,.0156188129017614
3/25/2020,-.0279921800495444,-.028895623693546,.0137035348702139
4/1/2020,-.0300582467028142,-.0139004497173794,-.0133166215839992
4/8/2020,-.0468392024477229,-.0438238519535258,.0293856252273037
4/15/2020,-.1389792775163313,-.067335583595018,-.0435367082735565
4/22/2020,-.2203952767502716,-.1381686880465869,-.0425103234313833
4/29/2020,-.1390201527071482,-.0659207450085705,-.0448520611623613
5/6/2020,-.1359688216849956,-.0898909414107482,-.0153110614249043
5/13/2020,-.1441484575760984,-.0509270896652588,-.0595345881047289
5/20/2020,-.1404966118965666,-.0713875608775464,-.0346834828892189
5/27/2020,-.1582915136495153,-.058292955968548,-.0637149877830818
6/3/2020,-.1535226282164029,-.0728911264323917,-.0757298107682416
6/10/2020,-.1609451635709451,-.0588105825703029,-.0544800687908137
6/17/2020,-.154594581882495,-.0586276382376143,-.0819357778193255
6/24/2020,-.1524435500001782,-.0539766137420707,-.0702892796584174
7/1/2020,-.1201565562841713,-.025879984379034,-.0681692233030649
7/8/2020,-.1316131730057709,-.0648149154628973,-.0249118007492889
7/15/2020,-.1525331710226489,-.0343513977145742,-.0904608063850485
7/22/2020,-.1440695843385862,-.0779595306823923,-.0385301220644264
7/29/2020,-.1241582257085863,-.0496764805684151,-.0590864209707916
8/5/2020,-.1284902365879679,-.0520092628265649,-.0402419700854301
8/12/2020,-.1500485051234373,-.0669416497532045,-.0588552515874901
8/19/2020,-.1172360738843559,-.0477475418370843,-.0256602667818578
8/26/2020,-.1135059733316306,-.0490423892943489,-.0259562925421933
9/2/2020,-.1276713706562227,-.0236111991882099,-.0659979809682691
9/9/2020,-.0989413516858181,-.0591782363875911,-.0324852269756376
9/16/2020,-.1280945052439096,-.0272196682405745,-.0686567322616649
9/23/2020,-.1017807852514148,-.0542855247991472,-.0131504597583627
9/30/2020,-.1086632604084475,-.00815570873724,-.0664116016423008
10/7/2020,-.1247073039408099,-.0582656301362908,-.0457804318353288
10/14/2020,-.1299073031364125,-.0350719123069595,-.074946245478547
10/21/2020,-.110357506113807,-.0708966121371187,-.0185197621151889
10/28/2020,-.108388264892501,-.0665814845139931,-.0283220469437225
11/4/2020,-.1094789946040192,-.0415008017368607,-.0438910871752005
11/11/2020,-.1027228437769062,-.0553015992771961,-.0035550624621233
11/18/2020,-.0976380925061633,-.0534682904354536,-.024444177617
11/25/2020,-.1080987806593169,-.0405231583077502,-.0377891986054313
12/2/2020,-.1046279462901974,-.0276941160182836,-.0683493589057006
12/9/2020,-.1175438815484776,-.0522320267167183,-.0280180566343524
12/16/2020,-.1289269416224688,-.0305697950299635,-.0773792629978175
12/23/2020,-.1049323373189871,-.0667344774689038,-.0148017530677268
12/30/2020,-.1270956640168226,-.0317279039808197,-.0672285269528268
1/6/2021,-.191292661684847,-.122864049863721,-.0289520164503002
1/13/2021,-.180073422540091,-.0912766658728822,-.047975358388413
1/20/2021,-.1354513643867805,-.0820416324984744,-.0227919908251875
1/27/2021,-.1062022174166219,-.0532679559678357,-.0332427551435854
2/3/2021,-.1042004596956502,-.0334747792388319,-.0562459592855231
2/10/2021,-.0992819245652021,-.0355713353695445,-.0337795673038581
2/17/2021,-.1029689547335472,-.0302399507599319,-.0522248482431505
2/24/2021,-.0597817927075653,-.0236924741856521,-.0002221289756082
3/3/2021,-.0203500256974088,-.0083465577461199,-.0279460391503377
3/10/2021,-.0833209558235279,-.0353608823984176,-.0231562209334261
3/17/2021,-.1404505988507614,-.0676051781594578,-.043167587162954
3/24/2021,-.233661993743946,-.1158274678853626,-.0741036813741996
3/31/2021,-.1407702993285748,-.0512389378020105,-.0488946822062488
4/7/2021,-.1287267019797036,-.0616041242188395,-.0478988267741718
4/14/2021,-.058389721327378,.0094088108152521,-.0470187760251957
4/21/2021,.0613844123744287,.0560157945089494,.0032677113228083
4/28/2021,.0096445077792542,.0325132881180392,-.013627430456036
5/5/2021,-.0058453065256465,.0251969221544659,-.0132971266034732
5/12/2021,.0057586677854515,-.0050358950307985,.0126920181458541
5/19/2021,-.0270970378672476,-.000674108169655,-.027513991470242
5/26/2021,-.0308915653534447,-.0125950993465619,-.0156310211090541
6/2/2021,.0287892705873991,.0210792010523937,.0176105294110729
6/9/2021,-.000133307401757,-.0091619572306494,.0077857609827752
6/16/2021,-.0104268570433284,.0097590200937123,-.0034268367194445
6/23/2021,-.0173929595677265,-.0194904001683743,.0222652723792858
6/30/2021,-.0304086171602432,-.0067137187774636,-.0179153184156413
7/7/2021,-.0128109321231002,-.0295289913660968,.0233123697410602
7/14/2021,-.018510489319255,.0075157879022874,-.0176646463147133
7/21/2021,-.0502293120283727,-.0200198342183709,-.0134723599858044
7/28/2021,-.0313266119096882,-.0246864365439201,.0112672689242175
8/4/2021,-.0310436885106558,-.0124283503943411,-.018020678912014
8/11/2021,-.0107891200839845,-.0114447771127865,.0082926347623045
8/18/2021,-.048285298853542,-.024638442134422,-.0105169807923831
8/25/2021,-.0592614195398338,-.0088765070238525,-.0305277160770285
9/1/2021,-.0638230766925802,-.019467904621869,-.0419545373895833
9/8/2021,-.034493523909457,-.017803688202495,-.0124868610926823
9/15/2021,-.0327626019331503,-.0046138972458061,-.0212993316396156
9/22/2021,-.0526591702043494,-.0417740809991517,-.0072407172347321
9/29/2021,-.0204823304662929,-.0100960755272451,-.0051507223817729
10/6/2021,-.0370268517272363,-.0267683338980325,.0050464680971123
10/13/2021,-.0348285516651176,-.0021360069895074,-.0113227229256335
10/20/2021,-.0467049739707834,-.015249692698147,-.0130545981198544
10/27/2021,-.0313010346977028,-.008982946031064,.0020359401804004
11/3/2021,-.0361552465092205,-.0030204143567808,-.0223558396982695
11/10/2021,-.0428268372978013,.0018637725415485,-.0275820296374284
11/17/2021,-.0528279366221508,-.0095095024780013,-.0357906624724301
11/24/2021,-.0571469826674593,-.0205026926891843,-.0119398676064175
12/1/2021,-.043517942740227,-.0166826827227461,-.0112210394219381
12/8/2021,-.0467861842440154,-.042875665777781,.0125238870571172
12/15/2021,-.0426074415742373,-.0111807448520024,.0077765644286563
12/22/2021,-.0580428573036795,-.0244700315938605,-.0219375769636809
12/29/2021,-.0434597870356825,-.0114899241150737,-.0205332238876504
1/5/2022,.0468067734626256,.0427826769079129,-.0155360948868761
1/12/2022,.0560596446010397,.0449202382995373,.0017694587760768
1/19/2022,-.0024926598457319,.0188743172864558,-.0203284755853713
1/26/2022,.0006874737092406,.0011472325131494,.0051068535133718
2/2/2022,.0154731397567371,.0122100010694277,.0074816940170448
2/9/2022,-.0206625852190827,-.0141837922082293,.0059662351630685
2/16/2022,-.0484590738233369,-.008043315542395,-.0355569561377637
2/23/2022,-.0107675085026708,-.0038841198960606,-.0028434712136377
3/2/2022,-.0276892791360726,.0202476143596479,-.0392230098124416
3/9/2022,-.0156082941897254,-.0115722116906921,-.0137286778411703
3/16/2022,.021357656912055,.0580174262935045,-.0367476866965942
3/23/2022,.161209695034809,.0847222476737572,.0397293743670197
3/30/2022,.0830836527883292,.0512929466134351,.024119337843485
4/6/2022,.0182450062267028,.0217592023446431,-.0066762414607459
4/13/2022,.0461026831680971,.0324366274165513,.007350990922673
4/20/2022,.0450201616972585,.0052515267567133,.0145246899244669
4/27/2022,.0031215053511948,-.0076139879589042,.0077702842336205
5/4/2022,.0000996475827351,-.0085155651506849,-.0044589777159244
5/11/2022,-.0077728848440166,.0086867431348303,-.015680987254055
5/18/2022,.0220421694788555,.0048227915458778,.0271608043413796
5/25/2022,.0129475009993587,-.0006763512561152,.0229934184481384
6/1/2022,-.0087134375891162,-.0009653661792972,-.0258273386735769
6/8/2022,.0096063743635764,-.0135235177378232,.0231739684517642
6/15/2022,.0024984135036283,.011304010439436,-.005724880825733
6/22/2022,.0122263868177763,-.0102996442854181,.0127416884693492
6/29/2022,.0007646303244269,.0083021723531658,-.0000755305368978
